Date,Symbol,Close
1/3/2000,TELCO,216.75
1/4/2000,TELCO,208.2
1/5/2000,TELCO,213.25
1/6/2000,TELCO,222.1
1/7/2000,TELCO,239.9
1/10/2000,TELCO,258.85
1/11/2000,TELCO,238.15
1/12/2000,TELCO,240.25
1/13/2000,TELCO,235.45
1/14/2000,TELCO,239.05
1/17/2000,TELCO,250.65
1/18/2000,TELCO,248
1/19/2000,TELCO,250.5
1/20/2000,TELCO,235.7
1/21/2000,TELCO,232.2
1/24/2000,TELCO,213.65
1/25/2000,TELCO,196.6
1/27/2000,TELCO,180.9
1/28/2000,TELCO,175.2
1/31/2000,TELCO,179.7
2/1/2000,TELCO,175.3
2/2/2000,TELCO,180.1
2/3/2000,TELCO,177.35
2/4/2000,TELCO,178.95
2/7/2000,TELCO,177.8
2/8/2000,TELCO,180.6
2/9/2000,TELCO,183.65
2/10/2000,TELCO,181.1
2/11/2000,TELCO,169.75
2/14/2000,TELCO,157.8
2/15/2000,TELCO,165.8
2/16/2000,TELCO,164.85
2/17/2000,TELCO,166.35
2/18/2000,TELCO,154.2
2/21/2000,TELCO,166.55
2/22/2000,TELCO,179.9
2/23/2000,TELCO,168.05
2/24/2000,TELCO,170.25
2/25/2000,TELCO,182.9
2/28/2000,TELCO,181.05
2/29/2000,TELCO,166.6
3/1/2000,TELCO,157.6
3/2/2000,TELCO,146.8
3/3/2000,TELCO,135.1
3/6/2000,TELCO,138.75
3/7/2000,TELCO,132.1
3/8/2000,TELCO,127.5
3/9/2000,TELCO,137.7
3/10/2000,TELCO,129.4
3/13/2000,TELCO,120.35
3/14/2000,TELCO,130
3/15/2000,TELCO,135.2
3/16/2000,TELCO,145.4
3/21/2000,TELCO,149.55
3/22/2000,TELCO,146.55
3/23/2000,TELCO,136.2
3/24/2000,TELCO,135.25
3/27/2000,TELCO,135.35
3/28/2000,TELCO,133.5
3/29/2000,TELCO,134.9
3/30/2000,TELCO,126.75
3/31/2000,TELCO,136.3
4/3/2000,TELCO,142.7
4/4/2000,TELCO,131.3
4/5/2000,TELCO,133.55
4/6/2000,TELCO,128.7
4/7/2000,TELCO,138.8
4/10/2000,TELCO,139.65
4/11/2000,TELCO,137.95
4/12/2000,TELCO,135.25
4/13/2000,TELCO,129
4/17/2000,TELCO,131.8
4/18/2000,TELCO,121.65
4/19/2000,TELCO,124.55
4/20/2000,TELCO,122.7
4/24/2000,TELCO,125.7
4/25/2000,TELCO,127.45
4/26/2000,TELCO,133.95
4/27/2000,TELCO,129.2
4/28/2000,TELCO,127.7
5/2/2000,TELCO,126.35
5/3/2000,TELCO,127.35
5/4/2000,TELCO,130.9
5/5/2000,TELCO,141.2
5/8/2000,TELCO,144.5
5/9/2000,TELCO,144.85
5/10/2000,TELCO,143.8
5/11/2000,TELCO,138.05
5/12/2000,TELCO,129.1
5/15/2000,TELCO,130.3
5/16/2000,TELCO,133
5/17/2000,TELCO,133.95
5/18/2000,TELCO,130.75
5/19/2000,TELCO,130.8
5/22/2000,TELCO,130.2
5/23/2000,TELCO,128.9
5/24/2000,TELCO,129.75
5/25/2000,TELCO,121.6
5/26/2000,TELCO,118.75
5/29/2000,TELCO,122.9
5/30/2000,TELCO,122.8
5/31/2000,TELCO,124.3
6/1/2000,TELCO,122.35
6/2/2000,TELCO,118.85
6/5/2000,TELCO,119.15
6/6/2000,TELCO,119.25
6/7/2000,TELCO,121.6
6/8/2000,TELCO,128.85
6/9/2000,TELCO,134.5
6/12/2000,TELCO,137.25
6/13/2000,TELCO,138.05
6/14/2000,TELCO,133.65
6/15/2000,TELCO,131.4
6/16/2000,TELCO,132.3
6/19/2000,TELCO,134.45
6/20/2000,TELCO,135.1
6/21/2000,TELCO,130.6
6/22/2000,TELCO,130.2
6/23/2000,TELCO,129.15
6/26/2000,TELCO,126.1
6/27/2000,TELCO,126.7
6/28/2000,TELCO,126.9
6/29/2000,TELCO,126.35
6/30/2000,TELCO,123.5
7/3/2000,TELCO,125.7
7/4/2000,TELCO,123.3
7/5/2000,TELCO,126.3
7/6/2000,TELCO,129.8
7/7/2000,TELCO,129.05
7/10/2000,TELCO,131.15
7/11/2000,TELCO,132.9
7/12/2000,TELCO,132.4
7/13/2000,TELCO,131.75
7/14/2000,TELCO,127.2
7/17/2000,TELCO,126.7
7/18/2000,TELCO,124.45
7/19/2000,TELCO,124.45
7/20/2000,TELCO,121.8
7/21/2000,TELCO,117.2
7/24/2000,TELCO,106.3
7/25/2000,TELCO,108
7/26/2000,TELCO,103.65
7/27/2000,TELCO,106.2
7/28/2000,TELCO,104.05
7/31/2000,TELCO,92.55
8/1/2000,TELCO,94.85
8/2/2000,TELCO,98.35
8/3/2000,TELCO,95.1
8/4/2000,TELCO,93.45
8/7/2000,TELCO,91.65
8/8/2000,TELCO,92.25
8/9/2000,TELCO,93.95
8/10/2000,TELCO,92.65
8/11/2000,TELCO,90.85
8/14/2000,TELCO,87.1
8/16/2000,TELCO,89.55
8/17/2000,TELCO,90.45
8/18/2000,TELCO,89.6
8/21/2000,TELCO,90.95
8/22/2000,TELCO,92.35
8/23/2000,TELCO,95.8
8/24/2000,TELCO,94.2
8/25/2000,TELCO,95.6
8/28/2000,TELCO,104.75
8/29/2000,TELCO,102.1
8/30/2000,TELCO,99.5
8/31/2000,TELCO,100.1
9/4/2000,TELCO,98
